V1	V2	V3	tf	target
G220	G2043	1	b2193	b2207
G255	G2043	1	b0761	b2207
G199	G2054	1	b1658	b0523
G172	G2058	1	b0413	b2675
G147	G2072	1	b1187	b3845
G313	G2072	1	b4401	b3845
G92	G2073	1	b1334	b2196
G192	G2073	1	b1221	b2196
G220	G2073	1	b2193	b2196
G255	G2073	1	b0761	b2196
G110	G2074	1	b1892	b1949
G219	G2074	1	b1891	b1949
G92	G2097	1	b1334	b2579
G305	G2105	1	b0683	b0588
G23	G2117	1	b3261	b3722
G55	G2117	1	b3357	b3722
G281	G2117	1	b1237	b3722
G142	G2120	1	b1303	b4050
G55	G2121	1	b3357	b1818
G176	G2121	1	b1594	b1818
G260	G2121	1	b0676	b1818
G125	G2123	1	b1130	b1609
G305	G2125	1	b0683	b4288
G86	G2128	1	b3912	b2074
G144	G2128	1	b2079	b2074
G255	G2130	1	b0761	b0784
G55	G2132	1	b3357	b3394
G10	G2133	1	b1951	b2062
G274	G2133	1	b2217	b2062
G192	G2135	1	b1221	b4138
G138	G2137	1	b2369	b1501
G55	G2141	1	b3357	b4197
G221	G2141	1	b4191	b4197
G268	G2141	1	b0912	b4197
G333	G2141	1	b1712	b4197
G55	G2154	1	b3357	b0040
G151	G2154	1	b0034	b0040
G55	G2157	1	b3357	b1736
G128	G2157	1	b1735	b1736
G260	G2157	1	b0676	b1736
G86	G2180	1	b3912	b2580
G92	G2187	1	b1334	b0827
G313	G2187	1	b4401	b0827
G330	G2192	1	b0506	b0507
G244	G2217	1	b0889	b4319
G281	G2217	1	b1237	b4319
G92	G2222	1	b1334	b2194
G192	G2222	1	b1221	b2194
G220	G2222	1	b2193	b2194
G255	G2222	1	b0761	b2194
G55	G2225	1	b3357	b0907
G244	G2225	1	b0889	b0907
G305	G2228	1	b0683	b0585
G31	G2234	1	b1916	b0093
G55	G2238	1	b3357	b0727
G313	G2238	1	b4401	b0727
G55	G2242	1	b3357	b1390
G175	G2242	1	b1399	b1390
G268	G2242	1	b0912	b1390
G333	G2242	1	b1712	b1390
G86	G2244	1	b3912	b1037
G209	G2244	1	b1608	b1037
G283	G2244	1	b3405	b1037
G92	G2249	1	b1334	b2198
G192	G2249	1	b1221	b2198
G220	G2249	1	b2193	b2198
G255	G2249	1	b0761	b2198
G55	G2258	1	b3357	b0411
G152	G2258	1	b0840	b0411
G277	G2258	1	b3934	b0411
G55	G2264	1	b3357	b1397
G175	G2264	1	b1399	b1397
G268	G2264	1	b0912	b1397
G333	G2264	1	b1712	b1397
G116	G2265	1	b2531	b1683
G235	G2265	1	b3961	b1683
G268	G2265	1	b0912	b1683
G305	G2265	1	b0683	b1683
G333	G2265	1	b1712	b1683
G268	G2269	1	b0912	b3540
G333	G2269	1	b1712	b3540
G92	G2287	1	b1334	b1590
G192	G2287	1	b1221	b1590
G110	G2292	1	b1892	b0654
G219	G2292	1	b1891	b0654
G110	G2293	1	b1892	b0655
G219	G2293	1	b1891	b0655
G55	G2302	1	b3357	b3528
G83	G2302	1	b4124	b3528
G99	G2303	1	b2731	b2721
G255	G2303	1	b0761	b2721
G268	G2303	1	b0912	b2721
G333	G2303	1	b1712	b2721
G11	G2313	1	b0064	b0396
G55	G2313	1	b3357	b0396
G188	G2314	1	b3515	b3517
G254	G2314	1	b3516	b3517
G259	G2314	1	b3512	b3517
G281	G2314	1	b1237	b3517
G66	G2316	1	b0399	b3728
G268	G2316	1	b0912	b3728
G333	G2316	1	b1712	b3728
G36	G2317	1	b2980	b2979
G268	G2317	1	b0912	b2979
G313	G2317	1	b4401	b2979
G333	G2317	1	b1712	b2979
G118	G2318	1	b4393	b1261
G55	G2319	1	b3357	b3904
G236	G2319	1	b3905	b3904
G23	G2321	1	b3261	b2276
G92	G2321	1	b1334	b2276
G268	G2321	1	b0912	b2276
G313	G2321	1	b4401	b2276
G333	G2321	1	b1712	b2276
G58	G2324	1	b3423	b3925
G73	G2325	1	b4043	b1184
G110	G2327	1	b1892	b1921
G208	G2327	1	b4178	b1921
G219	G2327	1	b1891	b1921
G55	G2330	1	b3357	b0677
G125	G2330	1	b1130	b0677
G260	G2330	1	b0676	b0677
G140	G2331	1	b1275	b2425
G86	G2334	1	b3912	b1743
G144	G2334	1	b2079	b1743
G55	G2340	1	b3357	b1189
G244	G2340	1	b0889	b1189
G140	G2341	1	b1275	b2414
G151	G2353	1	b0034	b0044
G23	G2360	1	b3261	b3169
G55	G2360	1	b3357	b3169
G223	G2360	1	b3237	b3169
G282	G2368	1	b0080	b3916
G55	G2375	1	b3357	b0728
G313	G2375	1	b4401	b0728
G73	G2381	1	b4043	b0060
G305	G2387	1	b0683	b0584
G55	G2388	1	b3357	b2784
G258	G2389	1	b3131	b3141
G244	G2392	1	b0889	b4316
G281	G2392	1	b1237	b4316
G55	G2393	1	b3357	b1388
G175	G2393	1	b1399	b1388
G268	G2393	1	b0912	b1388
G333	G2393	1	b1712	b1388
G55	G2394	1	b3357	b2659
G244	G2394	1	b0889	b2659
G92	G2404	1	b1334	b0734
G281	G2404	1	b1237	b0734
G282	G2404	1	b0080	b0734
G313	G2404	1	b4401	b0734
G145	G2423	1	b3418	b3417
G205	G2424	1	b2808	b2903
G244	G2424	1	b0889	b2903
G116	G2440	1	b2531	b0975
G223	G2445	1	b3237	b3959
G55	G2446	1	b3357	b2415
G176	G2446	1	b1594	b2415
G282	G2446	1	b0080	b2415
G110	G2450	1	b1892	b1081
G219	G2450	1	b1891	b1081
G55	G2451	1	b3357	b3236
G313	G2451	1	b4401	b3236
G36	G2453	1	b2980	b2977
G268	G2453	1	b0912	b2977
G313	G2453	1	b4401	b2977
G333	G2453	1	b1712	b2977
G223	G2458	1	b3237	b0863
G73	G2469	1	b4043	b4058
G313	G2469	1	b4401	b4058
G92	G2474	1	b1334	b2727
G99	G2474	1	b2731	b2727
G268	G2474	1	b0912	b2727
G333	G2474	1	b1712	b2727
G55	G2479	1	b3357	b2239
G58	G2479	1	b3423	b2239
G268	G2479	1	b0912	b2239
G333	G2479	1	b1712	b2239
G55	G2487	1	b3357	b2009
G55	G2489	1	b3357	b3806
G305	G2494	1	b0683	b0590
G61	G2497	1	b0069	b0067
G55	G2500	1	b3357	b4195
G221	G2500	1	b4191	b4195
G268	G2500	1	b0912	b4195
G333	G2500	1	b1712	b4195
G330	G2502	1	b0506	b0512
G3	G2505	1	b3702	b2508
G23	G2505	1	b3261	b2508
G55	G2505	1	b3357	b2508
G199	G2505	1	b1658	b2508
G55	G2515	1	b3357	b4032
G145	G2515	1	b3418	b4032
G23	G2516	1	b3261	b2287
G92	G2516	1	b1334	b2287
G268	G2516	1	b0912	b2287
G313	G2516	1	b4401	b2287
G333	G2516	1	b1712	b2287
G223	G2522	1	b3237	b3957
G23	G2527	1	b3261	b2285
G92	G2527	1	b1334	b2285
G268	G2527	1	b0912	b2285
G313	G2527	1	b4401	b2285
G333	G2527	1	b1712	b2285
G278	G2532	1	b2684	b2685
G51	G2542	1	b0730	b0732
G23	G2543	1	b3261	b0244
G89	G2553	1	b1531	b1852
G210	G2553	1	b4396	b1852
G309	G2553	1	b4062	b1852
G244	G2559	1	b0889	b4320
G281	G2559	1	b1237	b4320
G116	G2562	1	b2531	b0976
G55	G2566	1	b3357	b4322
G253	G2566	1	b4324	b4322
G55	G2574	1	b3357	b4194
G221	G2574	1	b4191	b4194
G268	G2574	1	b0912	b4194
G333	G2574	1	b1712	b4194
G268	G2575	1	b0912	b2763
G333	G2575	1	b1712	b2763
G55	G2581	1	b3357	b2149
G11	G2592	1	b0064	b1900
G55	G2592	1	b3357	b1900
G268	G2595	1	b0912	b4117
G333	G2595	1	b1712	b4117
G116	G2602	1	b2531	b0973
G305	G2604	1	b0683	b0594
G3	G2605	1	b3702	b2235
G23	G2605	1	b3261	b2235
G172	G2605	1	b0413	b2235
G232	G2605	1	b2916	b2235
G83	G2610	1	b4124	b4122
G92	G2610	1	b1334	b4122
G118	G2613	1	b4393	b1265
G11	G2615	1	b0064	b0061
G55	G2615	1	b3357	b0061
G309	G2616	1	b4062	b0853
G199	G2619	1	b1658	b2313
G2	G2626	1	b3481	b3480
G92	G2626	1	b1334	b3480
G55	G2629	1	b3357	b0343
G76	G2629	1	b0345	b0343
G281	G2629	1	b1237	b0343
G23	G2637	1	b3261	b2281
G92	G2637	1	b1334	b2281
G268	G2637	1	b0912	b2281
G313	G2637	1	b4401	b2281
G333	G2637	1	b1712	b2281
G55	G2640	1	b3357	b3395
G55	G2641	1	b3357	b3404
G268	G2641	1	b0912	b3404
G333	G2641	1	b1712	b3404
G281	G2645	1	b1237	b2678
G72	G2650	1	b4398	b4400
G138	G2655	1	b2369	b2370
G120	G2657	1	b0571	b0573
G55	G2660	1	b3357	b3672
G39	G2665	1	b3973	b0774
G55	G2666	1	b3357	b0904
G92	G2666	1	b1334	b0904
G192	G2666	1	b1221	b0904
G268	G2666	1	b0912	b0904
G313	G2666	1	b4401	b0904
G333	G2666	1	b1712	b0904
G55	G2668	1	b3357	b3514
G138	G2668	1	b2369	b3514
G188	G2668	1	b3515	b3514
G254	G2668	1	b3516	b3514
G259	G2668	1	b3512	b3514
G271	G2668	1	b1499	b3514
G84	G2678	1	b3938	b3008
G86	G2680	1	b3912	b4484
G23	G2682	1	b3261	b1274
G84	G2685	1	b3938	b2152
G10	G2689	1	b1951	b1480
G274	G2689	1	b2217	b1480
G170	G2699	1	b1323	b0048
G268	G2701	1	b0912	b3542
G333	G2701	1	b1712	b3542
G223	G2705	1	b3237	b0862
G23	G2707	1	b3261	b2280
G92	G2707	1	b1334	b2280
G268	G2707	1	b0912	b2280
G313	G2707	1	b4401	b2280
G333	G2707	1	b1712	b2280
G55	G2708	1	b3357	b0334
G188	G2709	1	b3515	b1492
G254	G2709	1	b3516	b1492
G259	G2709	1	b3512	b1492
G110	G2723	1	b1892	b1078
G219	G2723	1	b1891	b1078
G55	G2724	1	b3357	b1513
G255	G2730	1	b0761	b0765
G23	G2732	1	b3261	b2400
G19	G2737	1	b1530	b1532
G23	G2737	1	b3261	b1532
G89	G2737	1	b1531	b1532
G210	G2737	1	b4396	b1532
G92	G2741	1	b1334	b3518
G235	G2741	1	b3961	b3518
G86	G2744	1	b3912	b1887
G147	G2746	1	b1187	b3846
G313	G2746	1	b4401	b3846
G199	G2751	1	b1658	b0945
G83	G2754	1	b4124	b4153
G92	G2754	1	b1334	b4153
G192	G2754	1	b1221	b4153
G92	G2758	1	b1334	b2204
G116	G2758	1	b2531	b2204
G192	G2758	1	b1221	b2204
G220	G2758	1	b2193	b2204
G255	G2758	1	b0761	b2204
G86	G2760	1	b3912	b1890
G244	G2761	1	b0889	b3771
G268	G2761	1	b0912	b3771
G333	G2761	1	b1712	b3771
G69	G2763	1	b0113	b0432
G313	G2763	1	b4401	b0432
G23	G2765	1	b3261	b3977
G210	G2768	1	b4396	b2237
G55	G2773	1	b3357	b2241
G58	G2773	1	b3423	b2241
G55	G2775	1	b3357	b3415
G107	G2775	1	b3438	b3415
G92	G2781	1	b1334	b1222
G255	G2781	1	b0761	b1222
G142	G2782	1	b1303	b1308
G268	G2782	1	b0912	b1308
G333	G2782	1	b1712	b1308
G281	G2783	1	b1237	b1258
G55	G2784	1	b3357	b1392
G175	G2784	1	b1399	b1392
G268	G2784	1	b0912	b1392
G333	G2784	1	b1712	b1392
G151	G2786	1	b0034	b0043
G125	G2794	1	b1130	b0154
G55	G2795	1	b3357	b4030
G66	G2795	1	b0399	b4030
G224	G2796	1	b1013	b1006
G116	G2799	1	b2531	b3414
G55	G2800	1	b3357	b2964
G277	G2800	1	b3934	b2964
G193	G2802	1	b0487	b0123
G55	G2805	1	b3357	b4310
G74	G2805	1	b3226	b4310
G260	G2805	1	b0676	b4310
G92	G2806	1	b1334	b1671
G192	G2806	1	b1221	b1671
G220	G2806	1	b2193	b1671
G110	G2808	1	b1892	b1073
G219	G2808	1	b1891	b1073
G86	G2809	1	b3912	b0161
G244	G2818	1	b0889	b1243
G55	G2819	1	b3357	b3781
G55	G2821	1	b3357	b3513
G138	G2821	1	b2369	b3513
G188	G2821	1	b3515	b3513
G254	G2821	1	b3516	b3513
G259	G2821	1	b3512	b3513
G271	G2821	1	b1499	b3513
G25	G2822	1	b3753	b3749
G92	G2825	1	b1334	b1674
G192	G2825	1	b1221	b1674
G220	G2825	1	b2193	b1674
G92	G2832	1	b1334	b1475
G192	G2832	1	b1221	b1475
G220	G2832	1	b2193	b1475
G55	G2834	1	b3357	b2925
G282	G2834	1	b0080	b2925
G110	G2837	1	b1892	b1904
G219	G2837	1	b1891	b1904
G309	G2840	1	b4062	b0950
G23	G2844	1	b3261	b3166
G55	G2844	1	b3357	b3166
G223	G2844	1	b3237	b3166
G55	G2854	1	b3357	b0036
G151	G2854	1	b0034	b0036
G92	G2855	1	b1334	b4237
G172	G2855	1	b0413	b4237
G118	G2859	1	b4393	b1704
G109	G2860	1	b0694	b4513
G23	G2877	1	b3261	b3978
G73	G2884	1	b4043	b0958
G99	G2886	1	b2731	b2717
G255	G2886	1	b0761	b2717
G268	G2886	1	b0912	b2717
G333	G2886	1	b1712	b2717
G55	G2887	1	b3357	b0039
G151	G2887	1	b0034	b0039
G244	G2893	1	b0889	b3617
G330	G2894	1	b0506	b0505
G55	G2895	1	b3357	b4381
G152	G2895	1	b0840	b4381
G255	G2895	1	b0761	b4381
G277	G2895	1	b3934	b4381
G66	G2896	1	b0399	b1850
G107	G2896	1	b3438	b1850
G121	G2896	1	b1827	b1850
G282	G2896	1	b0080	b1850
G55	G2897	1	b3357	b1190
G244	G2897	1	b0889	b1190
G55	G2916	1	b3357	b4311
G74	G2916	1	b3226	b4311
G260	G2916	1	b0676	b4311
G110	G2924	1	b1892	b1920
G208	G2924	1	b4178	b1920
G219	G2924	1	b1891	b1920
G23	G2926	1	b3261	b3588
G55	G2926	1	b3357	b3588
G89	G2929	1	b1531	b3510
G188	G2929	1	b3515	b3510
G254	G2929	1	b3516	b3510
G259	G2929	1	b3512	b3510
G281	G2929	1	b1237	b3510
G23	G2932	1	b3261	b2591
G268	G2940	1	b0912	b4029
G333	G2940	1	b1712	b4029
G223	G2957	1	b3237	b0860
G11	G2961	1	b0064	b1901
G55	G2961	1	b3357	b1901
G55	G2964	1	b3357	b2143
G277	G2964	1	b3934	b2143
G99	G2965	1	b2731	b2726
G268	G2965	1	b0912	b2726
G333	G2965	1	b1712	b2726
G58	G2966	1	b3423	b3926
G99	G2968	1	b2731	b2725
G255	G2968	1	b0761	b2725
G268	G2968	1	b0912	b2725
G333	G2968	1	b1712	b2725
G223	G2971	1	b3237	b1746
G303	G2971	1	b3868	b1746
G305	G2983	1	b0683	b0595
G187	G2989	1	b3604	b3605
G313	G2989	1	b4401	b3605
G116	G2990	1	b2531	b2530
G11	G2991	1	b0064	b0063
G55	G2991	1	b3357	b0063
G55	G2995	1	b3357	b3575
G247	G2995	1	b3574	b3575
G268	G2995	1	b0912	b3575
G333	G2995	1	b1712	b3575
G61	G3008	1	b0069	b0070
G147	G3011	1	b1187	b0221
G313	G3011	1	b4401	b0221
G92	G3012	1	b1334	b2197
G192	G3012	1	b1221	b2197
G220	G3012	1	b2193	b2197
G255	G3012	1	b0761	b2197
G92	G3021	1	b1334	b0872
G192	G3021	1	b1221	b0872
G235	G3029	1	b3961	b3942
G55	G3031	1	b3357	b4037
G145	G3031	1	b3418	b4037
G55	G3036	1	b3357	b2344
G147	G3036	1	b1187	b2344
G283	G3036	1	b3405	b2344
G313	G3036	1	b4401	b2344
G4	G3044	1	b3118	b3116
G55	G3044	1	b3357	b3116
G56	G3044	1	b3119	b3116
G268	G3044	1	b0912	b3116
G333	G3044	1	b1712	b3116
G92	G3047	1	b1334	b2199
G192	G3047	1	b1221	b2199
G220	G3047	1	b2193	b2199
G255	G3047	1	b0761	b2199
G23	G3048	1	b3261	b2348
G55	G3057	1	b3357	b3072
G110	G3058	1	b1892	b1947
G219	G3058	1	b1891	b1947
G48	G3068	1	b2537	b2542
G92	G3073	1	b1334	b2206
G116	G3073	1	b2531	b2206
G192	G3073	1	b1221	b2206
G220	G3073	1	b2193	b2206
G255	G3073	1	b0761	b2206
G92	G3074	1	b1334	b1211
G282	G3080	1	b0080	b1676
G328	G3095	1	b4046	b1859
G147	G3099	1	b1187	b2342
G313	G3099	1	b4401	b2342
G23	G3107	1	b3261	b3854
G55	G3108	1	b3357	b1389
G175	G3108	1	b1399	b1389
G268	G3108	1	b0912	b1389
G333	G3108	1	b1712	b1389
G55	G3127	1	b3357	b3577
G247	G3127	1	b3574	b3577
G268	G3127	1	b0912	b3577
G333	G3127	1	b1712	b3577
G23	G3129	1	b3261	b2286
G92	G3129	1	b1334	b2286
G268	G3129	1	b0912	b2286
G313	G3129	1	b4401	b2286
G333	G3129	1	b1712	b2286
G23	G3140	1	b3261	b2864
G140	G3142	1	b1275	b0937
G197	G3142	1	b1987	b0937
G268	G3142	1	b0912	b0937
G333	G3142	1	b1712	b0937
G86	G3153	1	b3912	b0460
G55	G3155	1	b3357	b0350
G178	G3155	1	b0346	b0350
G55	G3156	1	b3357	b3903
G236	G3156	1	b3905	b3903
G268	G3158	1	b0912	b2764
G333	G3158	1	b1712	b2764
G86	G3160	1	b3912	b1043
G150	G3160	1	b1040	b1043
G110	G3161	1	b1892	b1950
G219	G3161	1	b1891	b1950
G89	G3162	1	b1531	b3509
G188	G3162	1	b3515	b3509
G254	G3162	1	b3516	b3509
G259	G3162	1	b3512	b3509
G281	G3162	1	b1237	b3509
G170	G3175	1	b1323	b2600
G334	G3176	1	b0338	b0340
G55	G3184	1	b3357	b1391
G175	G3184	1	b1399	b1391
G268	G3184	1	b0912	b1391
G333	G3184	1	b1712	b1391
G305	G3185	1	b0683	b4289
G55	G3189	1	b3357	b3453
G66	G3189	1	b0399	b3453
G147	G3195	1	b1187	b2341
G313	G3195	1	b4401	b2341
G10	G3199	1	b1951	b4431
G274	G3199	1	b2217	b4431
G207	G3200	1	b4018	b4015
G268	G3200	1	b0912	b4015
G282	G3200	1	b0080	b4015
G333	G3200	1	b1712	b4015
G55	G3205	1	b3357	b2243
G58	G3205	1	b3423	b2243
G23	G3221	1	b3261	b3367
G92	G3221	1	b1334	b3367
G192	G3221	1	b1221	b3367
G220	G3221	1	b2193	b3367
G268	G3221	1	b0912	b3367
G281	G3221	1	b1237	b3367
G282	G3221	1	b0080	b3367
G333	G3221	1	b1712	b3367
G55	G3233	1	b3357	b1817
G176	G3233	1	b1594	b1817
G260	G3233	1	b0676	b1817
G235	G3245	1	b3961	b2582
G109	G3248	1	b0694	b0697
G110	G3252	1	b1892	b1079
G219	G3252	1	b1891	b1079
G170	G3253	1	b1323	b4054
G55	G3254	1	b3357	b1519
G23	G3256	1	b3261	b4075
G92	G3256	1	b1334	b4075
G192	G3256	1	b1221	b4075
G220	G3256	1	b2193	b4075
G268	G3256	1	b0912	b4075
G333	G3256	1	b1712	b4075
G244	G3258	1	b0889	b1244
G164	G3260	1	b2213	b2068
G86	G3262	1	b3912	b2215
G244	G3262	1	b0889	b2215
G268	G3262	1	b0912	b2215
G283	G3262	1	b3405	b2215
G333	G3262	1	b1712	b2215
G166	G3266	1	b0995	b0996
G281	G3274	1	b1237	b1967
G61	G3278	1	b0069	b4577
G55	G3282	1	b3357	b4384
G152	G3282	1	b0840	b4384
G255	G3282	1	b0761	b4384
G277	G3282	1	b3934	b4384
G55	G3295	1	b3357	b0106
G55	G3296	1	b3357	b2417
G176	G3296	1	b1594	b2417
G282	G3296	1	b0080	b2417
G282	G3302	1	b0080	b3403
G23	G3303	1	b3261	b3699
G55	G3305	1	b3357	b2429
G55	G3307	1	b3357	b4193
G221	G3307	1	b4191	b4193
G268	G3307	1	b0912	b4193
G333	G3307	1	b1712	b4193
G23	G3310	1	b3261	b2189
G244	G3315	1	b0889	b1246
G25	G3316	1	b3753	b3752
G55	G3317	1	b3357	b3133
G258	G3317	1	b3131	b3133
G92	G3321	1	b1334	b0895
G192	G3321	1	b1221	b0895
G255	G3321	1	b0761	b0895
G268	G3321	1	b0912	b0895
G333	G3321	1	b1712	b0895
G25	G3323	1	b3753	b3748
G86	G3325	1	b3912	b1041
G150	G3325	1	b1040	b1041
G55	G3326	1	b3357	b2957
G92	G3326	1	b1334	b2957
G116	G3329	1	b2531	b1684
G235	G3329	1	b3961	b1684
G268	G3329	1	b0912	b1684
G305	G3329	1	b0683	b1684
G333	G3329	1	b1712	b1684
G23	G3330	1	b3261	b4070
G92	G3330	1	b1334	b4070
G192	G3330	1	b1221	b4070
G220	G3330	1	b2193	b4070
G268	G3330	1	b0912	b4070
G333	G3330	1	b1712	b4070
G84	G3331	1	b3938	b2153
G235	G3333	1	b3961	b4367
G55	G3336	1	b3357	b0333
G147	G3339	1	b1187	b1805
G313	G3339	1	b4401	b1805
G86	G3345	1	b3912	b1042
G150	G3345	1	b1040	b1042
G55	G3356	1	b3357	b0758
G113	G3356	1	b0440	b0758
G183	G3356	1	b4000	b0758
G227	G3356	1	b2837	b0758
G281	G3356	1	b1237	b0758
G315	G3356	1	b2151	b0758
G92	G3360	1	b1334	b2208
G116	G3360	1	b2531	b2208
G192	G3360	1	b1221	b2208
G220	G3360	1	b2193	b2208
G255	G3360	1	b0761	b2208
G334	G3363	1	b0338	b0339
G23	G3365	1	b3261	b4071
G92	G3365	1	b1334	b4071
G192	G3365	1	b1221	b4071
G220	G3365	1	b2193	b4071
G268	G3365	1	b0912	b4071
G333	G3365	1	b1712	b4071
G66	G3366	1	b0399	b0384
G55	G3367	1	b3357	b2242
G58	G3367	1	b3423	b2242
G92	G3369	1	b1334	b2729
G99	G3369	1	b2731	b2729
G268	G3369	1	b0912	b2729
G333	G3369	1	b1712	b2729
G244	G3371	1	b0889	b4314
G281	G3371	1	b1237	b4314
G73	G3373	1	b4043	b4059
G313	G3373	1	b4401	b4059
G23	G3374	1	b3261	b4067
G55	G3374	1	b3357	b4067
G268	G3374	1	b0912	b4067
G333	G3374	1	b1712	b4067
G92	G3380	1	b1334	b1474
G192	G3380	1	b1221	b1474
G220	G3380	1	b2193	b1474
G55	G3386	1	b3357	b3425
G281	G3398	1	b1237	b1257
G116	G3399	1	b2531	b1681
G235	G3399	1	b3961	b1681
G268	G3399	1	b0912	b1681
G305	G3399	1	b0683	b1681
G333	G3399	1	b1712	b1681
G55	G3406	1	b3357	b0720
G268	G3406	1	b0912	b0720
G313	G3406	1	b4401	b0720
G333	G3406	1	b1712	b0720
G199	G3414	1	b1658	b1131
G55	G3415	1	b3357	b1518
G55	G3419	1	b3357	b2926
G282	G3419	1	b0080	b2926
G284	G3423	1	b1563	b1562
G332	G3423	1	b1564	b1562
G48	G3425	1	b2537	b2538
G55	G3431	1	b3357	b2663
G244	G3431	1	b0889	b2663
G92	G3432	1	b1334	b1225
G192	G3432	1	b1221	b1225
G268	G3432	1	b0912	b1225
G333	G3432	1	b1712	b1225
G55	G3433	1	b3357	b3356
G44	G3437	1	b2714	b2716
G55	G3437	1	b3357	b2716
G55	G3441	1	b3357	b0107
G58	G3442	1	b3423	b3927
G92	G3447	1	b1334	b0826
G313	G3447	1	b4401	b0826
G55	G3449	1	b3357	b2148
G55	G3457	1	b3357	b0756
G113	G3457	1	b0440	b0756
G183	G3457	1	b4000	b0756
G227	G3457	1	b2837	b0756
G281	G3457	1	b1237	b0756
G315	G3457	1	b2151	b0756
G69	G3459	1	b0113	b0114
G92	G3459	1	b1334	b0114
G55	G3460	1	b3357	b4383
G152	G3460	1	b0840	b4383
G255	G3460	1	b0761	b4383
G277	G3460	1	b3934	b4383
G223	G3462	1	b3237	b0861
G69	G3466	1	b0113	b0115
G92	G3466	1	b1334	b0115
G55	G3470	1	b3357	b1737
G128	G3470	1	b1735	b1737
G260	G3470	1	b0676	b1737
G116	G3471	1	b2531	b0974
G23	G3473	1	b3261	b0201
G55	G3475	1	b3357	b2662
G244	G3475	1	b0889	b2662
G55	G3483	1	b3357	b1395
G175	G3483	1	b1399	b1395
G268	G3483	1	b0912	b1395
G333	G3483	1	b1712	b1395
G55	G3484	1	b3357	b0908
G244	G3484	1	b0889	b0908
G268	G3488	1	b0912	b3541
G333	G3488	1	b1712	b3541
G23	G3489	1	b3261	b0971
G13	G3497	1	b1988	b0337
G235	G3498	1	b3961	b2000
G99	G3506	1	b2731	b2713
G55	G3519	1	b3357	b3831
G277	G3519	1	b3934	b3831
G55	G3522	1	b3357	b0344
G76	G3522	1	b0345	b0344
G281	G3522	1	b1237	b0344
G330	G3523	1	b0506	b0514
G92	G3528	1	b1334	b2730
G99	G3528	1	b2731	b2730
G268	G3528	1	b0912	b2730
G333	G3528	1	b1712	b2730
G205	G3529	1	b2808	b2904
G244	G3529	1	b0889	b2904
G92	G3530	1	b1334	b1589
G192	G3530	1	b1221	b1589
G23	G3537	1	b3261	b4076
G92	G3537	1	b1334	b4076
G192	G3537	1	b1221	b4076
G220	G3537	1	b2193	b4076
G268	G3537	1	b0912	b4076
G333	G3537	1	b1712	b4076
G309	G3543	1	b4062	b0851
G55	G3544	1	b3357	b3902
G236	G3544	1	b3905	b3902
G249	G3545	1	b3025	b3026
G11	G3546	1	b0064	b3564
G285	G3546	1	b3569	b3564
G66	G3554	1	b0399	b3727
G268	G3554	1	b0912	b3727
G333	G3554	1	b1712	b3727
G83	G3561	1	b4124	b4151
G92	G3561	1	b1334	b4151
G192	G3561	1	b1221	b4151
G55	G3562	1	b3357	b0722
G313	G3562	1	b4401	b0722
G55	G3568	1	b3357	b1393
G175	G3568	1	b1399	b1393
G268	G3568	1	b0912	b1393
G333	G3568	1	b1712	b1393
G268	G3579	1	b0912	b4028
G333	G3579	1	b1712	b4028
G23	G3584	1	b3261	b3164
G55	G3584	1	b3357	b3164
G223	G3584	1	b3237	b3164
G2	G3586	1	b3481	b3476
G92	G3586	1	b1334	b3476
G140	G3595	1	b1275	b0935
G197	G3595	1	b1987	b0935
G268	G3595	1	b0912	b0935
G333	G3595	1	b1712	b0935
G313	G3598	1	b4401	b0312
G86	G3607	1	b3912	b0970
G92	G3608	1	b1334	b1670
G192	G3608	1	b1221	b1670
G220	G3608	1	b2193	b1670
G166	G3609	1	b0995	b0998
G92	G3610	1	b1334	b2202
G116	G3610	1	b2531	b2202
G192	G3610	1	b1221	b2202
G220	G3610	1	b2193	b2202
G255	G3610	1	b0761	b2202
G172	G3617	1	b0413	b2676
G25	G3619	1	b3753	b3751
G268	G3621	1	b0912	b2762
G333	G3621	1	b1712	b2762
G43	G3628	1	b3501	b3502
G92	G3629	1	b1334	b2200
G192	G3629	1	b1221	b2200
G220	G3629	1	b2193	b2200
G255	G3629	1	b0761	b2200
G23	G3638	1	b3261	b1335
G192	G3638	1	b1221	b1335
G281	G3646	1	b1237	b3322
G86	G3647	1	b3912	b1888
G55	G3650	1	b3357	b1387
G175	G3650	1	b1399	b1387
G268	G3650	1	b0912	b1387
G333	G3650	1	b1712	b1387
G55	G3656	1	b3357	b0037
G151	G3656	1	b0034	b0037
G11	G3659	1	b0064	b3565
G285	G3659	1	b3569	b3565
G244	G3662	1	b0889	b3769
G268	G3662	1	b0912	b3769
G333	G3662	1	b1712	b3769
G125	G3668	1	b1130	b0557
G309	G3670	1	b4062	b3625
G281	G3676	1	b1237	b1905
G305	G3676	1	b0683	b1905
G138	G3678	1	b2369	b2375
G110	G3679	1	b1892	b1948
G219	G3679	1	b1891	b1948
G55	G3681	1	b3357	b1511
G23	G3682	1	b3261	b3796
G10	G3688	1	b1951	b0095
G31	G3688	1	b1916	b0095
G274	G3688	1	b2217	b0095
G109	G3695	1	b0694	b0698
G86	G3700	1	b3912	b3095
G164	G3703	1	b2213	b2212
G92	G3708	1	b1334	b2195
G192	G3708	1	b1221	b2195
G220	G3708	1	b2193	b2195
